nombre,descripcion,calorias,proteinas,grasas,carbohidratos,categoria,beneficios,imagen_url,
Bistec de ternera  ,"Carne magra y tierna, rica en proteínas de alta calidad y hierro, ideal para la salud muscular y el sistema inmune",92,"20,7 ","7,56","0,5 ",carnes,"Rico en proteínas, ayuda al desarrollo muscular y alto en hierro.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732631975/lkdeen4papvkyt5okwqj.jpg,
Buey semi graso ,"Carne de sabor intenso, con un equilibrio entre grasa y proteína, excelente fuente de energía y vitaminas B",160,0,0,0,carnes,"Fuente de proteínas y hierro, contribuye a la energía y fuerza.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632037/uavbaih1flqzy1limp1x.jpg,
Cabrito ,"Carne tierna y jugosa, baja en grasas y rica en minerales como el zinc y el fósforo",127,"19,2 ",17,"0,7 ",carnes,"Carne magra, fácil de digerir y rica en proteínas y vitaminas del grupo B.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632057/qodmk1xwxsimgiqgtnko.jpg,
Cerdo carne magra  ,"Fuente magra de proteínas, con bajo contenido de grasas y un perfil rico en vitaminas B1 y B6.",146,"19,9 ","6,8",0,carnes,"Bajo en grasas, alto en proteínas, rico en zinc y vitaminas B6 y B12.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632084/tjdw1rmwsw42c3fueose.jpg,
Cerdo carne grasa  ,"Carne sabrosa con alto contenido energético, adecuada para platos tradicionales y guisos ricos.",398,"14,5 ","37,3",0,carnes,"Sabor intenso, buena fuente de energía y vitamina B1.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632139/s4xt8nuydvoarrbc2dpw.jpg,
Ciervo ,"Carne roja magra, rica en hierro, fósforo y proteínas, ideal para dietas saludables",120,"20,3 ","3,7","0,6 ",carnes,"Alto en hierro y bajo en grasas saturadas, ideal para dietas saludables.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632168/f4mdlmrnjldigbh2glzv.jpg,
Codorniz ,"Ave pequeña con carne tierna y sabrosa, alta en proteínas y baja en grasa.",162,25,"6,8",0,carnes,"Rica en hierro, fósforo y vitaminas, ideal para fortalecer el sistema inmune.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632206/jgcylzwrwam2m17c7jaa.jpg,
Conejo ,"Carne magra y tierna, baja en grasas y colesterol, excelente para dietas equilibradas.",120,"21,2 ","6,6",0,carnes,"Baja en grasas, excelente fuente de proteínas magras y vitaminas.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632227/jv8yfzqbdalgnlys3njq.jpg,
Cordero Lechal ,"Carne tierna y jugosa, rica en sabor y nutrientes como el zinc y el hierro.",105,21,"2,4",0,carnes,"Rico en proteínas y minerales, ideal para desarrollo muscular.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632246/uu9fqflrfkzk0uh9ya04.jpg,
Cordero (Pierna) ,"Parte magra y versátil, ideal para asados, rica en proteínas y minerales esenciales.",98,"17,1 ","3,3",0,carnes,"Rico en hierro y zinc, contribuye a la formación de glóbulos rojos.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632318/eegmbr4u0kmdee6v2z8k.jpg,
Faisán ,"Ave de carne suave y baja en grasa, rica en proteínas y vitaminas del complejo B.",144,"24,3 ","5,2",0,carnes,"Rico en hierro y vitamina B6, ideal para mejorar la función inmunitaria.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632319/qsulmrgehev4ur3szqcf.jpg,
Hígado de cerdo ,"Órgano nutritivo y rico en hierro, vitaminas A y B12, ideal para la regeneración celular.",141,"22,8 ","4,8","1,5 ",carnes,"Alto en hierro y vitamina A, mejora la salud ocular y el sistema inmune.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632315/t4nsdhofc8qbblobqnvw.jpg,
Higado de vacuno  ,"Alimento altamente nutritivo, rico en hierro hemo, vitamina A y ácido fólico",129,21,"4,4","0,9 ",carnes,"Excelente fuente de hierro, vitamina A y ácido fólico.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632315/swm1fkowcs8agayrocto.jpg,
Jabalí ,"Carne roja de sabor fuerte, magra y rica en proteínas, hierro y fósforo.",107,21,2,"0,4 ",carnes,"Carne magra, rica en hierro, ideal para dietas bajas en grasas.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632315/cvbij1sz5g6dsvde46ef.jpg,
Lacón ,"Parte curada del cerdo, de sabor intenso y rica en grasas, ideal para platos tradicionales.",361,"19,2 ","31,6",0,carnes,"Buena fuente de proteínas y grasas, ideal para aportar energía.",https://res.cloudinary.com/dnkvrqfus/image/upload/v1732632571/yrwmcf2mfd1a1jjo3h2p.jpg,
